work_order_id,cluster
WO-0000322,-1
WO-0000323,-1
WO-0000324,-1
WO-0000325,-1
WO-0000326,-1
WO-0000327,0
WO-0000328,0
WO-0000329,-1
WO-0000330,0
WO-0000331,-1
WO-0000332,-1
WO-0000333,-1
WO-0000334,-1
WO-0000335,-1
WO-0000336,0
WO-0000337,-1
WO-0000338,-1
WO-0000339,-1
WO-0000340,-1
WO-0000341,-1
WO-0000342,-1
WO-0000343,-1
WO-0000344,-1
WO-0000345,-1
WO-0000346,0
WO-0000347,-1
WO-0000348,-1
WO-0000349,-1
WO-0000350,-1
WO-0000351,-1
WO-0000352,-1
WO-0000353,-1
WO-0000354,-1
WO-0000355,0
WO-0000356,-1
WO-0000357,-1
WO-0000358,0
WO-0000359,-1
WO-0000360,-1
WO-0000361,-1
WO-0000362,-1
WO-0000363,0
WO-0000364,-1
WO-0000365,-1
WO-0000366,-1
WO-0000367,-1
WO-0000368,-1
WO-0000369,-1
WO-0000370,-1
WO-0000371,-1
WO-0000372,0
WO-0000373,-1
WO-0000374,0
WO-0000375,-1
WO-0000376,0
WO-0000377,-1
WO-0000378,-1
WO-0000379,0
WO-0000380,-1
WO-0000381,-1
WO-0000382,-1
WO-0000383,0
WO-0000384,-1
WO-0000385,-1
WO-0000386,0
WO-0000387,-1
WO-0000388,-1
WO-0000389,-1
WO-0000390,-1
WO-0000391,-1
WO-0000392,-1
WO-0000393,-1
WO-0000394,-1
WO-0000395,-1
WO-0000396,-1
WO-0000397,-1
WO-0000398,0
WO-0000399,-1
WO-0000400,-1
WO-0000401,-1
WO-0000402,-1
WO-0000403,-1
WO-0000404,-1
WO-0000405,-1
WO-0000406,-1
WO-0000407,-1
WO-0000408,-1
WO-0000409,-1
WO-0000410,-1
WO-0000411,-1
WO-0000412,-1
WO-0000413,0
WO-0000414,-1
WO-0000415,-1
WO-0000416,-1
WO-0000417,-1
WO-0000418,-1
WO-0000419,-1
WO-0000420,-1
WO-0000421,-1
WO-0000422,-1
WO-0000423,-1
WO-0000424,-1
WO-0000425,-1
WO-0000426,-1
WO-0000427,-1
WO-0000428,-1
WO-0000429,-1
WO-0000430,-1
WO-0000431,0
WO-0000432,-1
WO-0000433,-1
WO-0000434,-1
WO-0000435,-1
WO-0000436,-1
WO-0000437,-1
WO-0000438,-1
WO-0000439,-1
WO-0000440,-1
WO-0000441,-1
WO-0000442,-1
WO-0000443,-1
WO-0000444,-1
WO-0000445,-1
WO-0000446,-1
WO-0000447,-1
WO-0000448,-1
WO-0000449,-1
WO-0000450,0
WO-0000451,-1
WO-0000452,-1
WO-0000453,0
WO-0000454,-1
WO-0000455,0
WO-0000456,-1
WO-0000457,-1
WO-0000458,-1
WO-0000459,0
WO-0000460,-1
WO-0000461,-1
WO-0000462,-1
WO-0000463,-1
WO-0000464,-1
WO-0000465,-1
WO-0000466,0
WO-0000467,-1
WO-0000468,-1
WO-0000469,-1
WO-0000470,-1
WO-0000471,-1
WO-0000472,-1
WO-0000473,-1
WO-0000474,-1
WO-0000475,-1
WO-0000476,0
WO-0000477,0
WO-0000478,-1
WO-0000479,-1
WO-0000480,-1
WO-0000481,-1
WO-0000482,-1
WO-0000483,-1
WO-0000484,-1
WO-0000485,-1
WO-0000486,-1
WO-0000487,-1
WO-0000488,-1
WO-0000489,-1
WO-0000490,-1
WO-0000491,-1
WO-0000492,-1
WO-0000493,-1
WO-0000494,-1
WO-0000495,-1
WO-0000496,-1
WO-0000497,-1
WO-0000498,0
WO-0000499,-1
WO-0000500,-1
WO-0000501,-1
WO-0000502,-1
WO-0000503,-1
WO-0000504,-1
WO-0000505,-1
WO-0000506,-1
WO-0000507,0
WO-0000508,-1
WO-0000509,-1
WO-0000510,-1
WO-0000511,-1
WO-0000512,-1
WO-0000513,-1
WO-0000514,-1
WO-0000515,-1
WO-0000516,-1
WO-0000517,-1
WO-0000518,-1
WO-0000519,-1
WO-0000520,-1
WO-0000521,-1
WO-0000522,-1
WO-0000523,-1
WO-0000524,-1
WO-0000525,-1
WO-0000526,-1
WO-0000527,0
WO-0000528,-1
WO-0000529,-1
WO-0000530,-1
WO-0000531,-1
WO-0000532,-1
WO-0000533,-1
WO-0000534,-1
WO-0000535,-1
WO-0000536,-1
WO-0000537,-1
WO-0000538,-1
WO-0000539,-1
WO-0000540,-1
WO-0000541,-1
WO-0000542,-1
WO-0000543,-1
WO-0000544,-1
WO-0000545,-1
WO-0000546,-1
WO-0000547,-1
WO-0000548,0
WO-0000549,-1
WO-0000550,0
WO-0000551,0
WO-0000552,-1
WO-0000553,0
WO-0000554,-1
WO-0000555,-1
WO-0000556,-1
WO-0000557,-1
WO-0000558,-1
WO-0000559,-1
WO-0000560,-1
WO-0000561,-1
WO-0000562,-1
WO-0000563,-1
WO-0000564,-1
WO-0000565,-1
WO-0000566,-1
WO-0000567,-1
WO-0000568,-1
WO-0000569,-1
WO-0000570,-1
WO-0000571,-1
WO-0000572,-1
WO-0000573,0
WO-0000574,-1
WO-0000575,-1
WO-0000576,0
WO-0000577,0
WO-0000578,-1
WO-0000579,-1
WO-0000580,-1
WO-0000581,-1
WO-0000582,-1
WO-0000583,0
WO-0000584,-1
WO-0000585,0
WO-0000586,-1
WO-0000587,0
WO-0000588,-1
WO-0000589,-1
WO-0000590,-1
WO-0000591,-1
WO-0000592,0
WO-0000593,-1
WO-0000594,-1
WO-0000595,0
WO-0000596,-1
WO-0000597,-1
WO-0000598,-1
WO-0000599,-1
WO-0000600,-1
WO-0000601,-1
WO-0000602,-1
WO-0000603,-1
WO-0000604,-1
WO-0000605,-1
WO-0000606,-1
WO-0000607,-1
WO-0000608,-1
WO-0000609,0
WO-0000610,-1
WO-0000611,-1
WO-0000612,-1
WO-0000613,-1
WO-0000614,-1
WO-0000615,0
WO-0000616,-1
WO-0000617,0
WO-0000618,0
WO-0000619,-1
WO-0000620,-1
WO-0000621,-1
WO-0000622,-1
WO-0000623,-1
WO-0000624,-1
WO-0000625,-1
WO-0000626,1
WO-0000627,0
WO-0000628,-1
WO-0000629,-1
WO-0000630,0
WO-0000631,-1
WO-0000632,-1
WO-0000633,-1
WO-0000634,-1
WO-0000635,-1
WO-0000636,-1
WO-0000637,-1
WO-0000638,0
WO-0000639,-1
WO-0000640,-1
WO-0000641,-1
WO-0000642,-1
WO-0000643,-1
WO-0000644,-1
WO-0000645,-1
WO-0000646,-1
WO-0000647,-1
WO-0000648,-1
WO-0000649,-1
WO-0000650,-1
WO-0000651,-1
WO-0000652,-1
WO-0000653,-1
WO-0000654,0
WO-0000655,-1
WO-0000656,-1
WO-0000657,0
WO-0000658,-1
WO-0000659,-1
WO-0000660,-1
WO-0000661,-1
WO-0000662,0
WO-0000663,-1
WO-0000664,-1
WO-0000665,-1
WO-0000666,-1
WO-0000667,-1
WO-0000668,-1
WO-0000669,-1
WO-0000670,-1
WO-0000671,0
WO-0000672,-1
WO-0000673,-1
WO-0000674,-1
WO-0000675,0
WO-0000676,-1
WO-0000677,0
WO-0000678,-1
WO-0000679,-1
WO-0000680,-1
WO-0000681,-1
WO-0000682,-1
WO-0000683,-1
WO-0000684,-1
WO-0000685,-1
